queryID	query_name	qstart	qend	refID	ref_name	rstart	rend	identity	evalue	qproduct	qgeneID	rproduct	rgeneID	merged_query	merged_query_name	merged_ref	merged_ref_name	phage	bacteria	EOP_value	gene	cluster
ewik	Ewik_contig_1	17358	15213	coliflower	Coliflower_contig_1	13545	15513	74.0	1.7799999999999999e-242	tail fiber protein	AXUUMYTS_CDS_0018	virion structural protein	JDOEVDKM_CDS_0024	ewik - AXUUMYTS_CDS_0018	ewik - AXUUMYTS_CDS_0018 - tail fiber protein	coliflower - JDOEVDKM_CDS_0024	coliflower - JDOEVDKM_CDS_0024 - virion structural protein	ewik	A xylosoxidans jini	0	AXUUMYTS_CDS_0018	cluster_2
ewik	Ewik_contig_1	17358	15213	coliflower	Coliflower_contig_1	13545	15513	74.0	1.7799999999999999e-242	tail fiber protein	AXUUMYTS_CDS_0018	virion structural protein	JDOEVDKM_CDS_0024	ewik - AXUUMYTS_CDS_0018	ewik - AXUUMYTS_CDS_0018 - tail fiber protein	coliflower - JDOEVDKM_CDS_0024	coliflower - JDOEVDKM_CDS_0024 - virion structural protein	ewik	A xylosoxidans ayb	1	AXUUMYTS_CDS_0018	cluster_2
ewik	Ewik_contig_1	17358	15213	coliflower	Coliflower_contig_1	13545	15513	74.0	1.7799999999999999e-242	tail fiber protein	AXUUMYTS_CDS_0018	virion structural protein	JDOEVDKM_CDS_0024	ewik - AXUUMYTS_CDS_0018	ewik - AXUUMYTS_CDS_0018 - tail fiber protein	coliflower - JDOEVDKM_CDS_0024	coliflower - JDOEVDKM_CDS_0024 - virion structural protein	ewik	A xylosoxidans suz	1	AXUUMYTS_CDS_0018	cluster_2
ewik	Ewik_contig_1	17358	15213	coliflower	Coliflower_contig_1	13545	15513	74.0	1.7799999999999999e-242	tail fiber protein	AXUUMYTS_CDS_0018	virion structural protein	JDOEVDKM_CDS_0024	ewik - AXUUMYTS_CDS_0018	ewik - AXUUMYTS_CDS_0018 - tail fiber protein	coliflower - JDOEVDKM_CDS_0024	coliflower - JDOEVDKM_CDS_0024 - virion structural protein	ewik	A insolitus vya	1	AXUUMYTS_CDS_0018	cluster_2
ewik	Ewik_contig_1	17358	15213	coliflower	Coliflower_contig_1	13545	15513	74.0	1.7799999999999999e-242	tail fiber protein	AXUUMYTS_CDS_0018	virion structural protein	JDOEVDKM_CDS_0024	ewik - AXUUMYTS_CDS_0018	ewik - AXUUMYTS_CDS_0018 - tail fiber protein	coliflower - JDOEVDKM_CDS_0024	coliflower - JDOEVDKM_CDS_0024 - virion structural protein	ewik	A insolitus neet	1	AXUUMYTS_CDS_0018	cluster_2
ewik	Ewik_contig_1	17358	15213	coliflower	Coliflower_contig_1	13545	15513	74.0	1.7799999999999999e-242	tail fiber protein	AXUUMYTS_CDS_0018	virion structural protein	JDOEVDKM_CDS_0024	ewik - AXUUMYTS_CDS_0018	ewik - AXUUMYTS_CDS_0018 - tail fiber protein	coliflower - JDOEVDKM_CDS_0024	coliflower - JDOEVDKM_CDS_0024 - virion structural protein	ewik	A insolitus aura	1	AXUUMYTS_CDS_0018	cluster_2
ewik	Ewik_contig_1	17358	15213	coliflower	Coliflower_contig_1	13545	15513	74.0	1.7799999999999999e-242	tail fiber protein	AXUUMYTS_CDS_0018	virion structural protein	JDOEVDKM_CDS_0024	ewik - AXUUMYTS_CDS_0018	ewik - AXUUMYTS_CDS_0018 - tail fiber protein	coliflower - JDOEVDKM_CDS_0024	coliflower - JDOEVDKM_CDS_0024 - virion structural protein	ewik	A insolitus cram	0	AXUUMYTS_CDS_0018	cluster_2
ewik	Ewik_contig_1	18329	21614	coliflower	Coliflower_contig_1	16756	19069	95.3	7.311e-316	central tail fiber J	AXUUMYTS_CDS_0021	central tail fiber J	JDOEVDKM_CDS_0028	ewik - AXUUMYTS_CDS_0021	ewik - AXUUMYTS_CDS_0021 - central tail fiber J	coliflower - JDOEVDKM_CDS_0028	coliflower - JDOEVDKM_CDS_0028 - central tail fiber J	ewik	A xylosoxidans jini	0	AXUUMYTS_CDS_0021	cluster_1
ewik	Ewik_contig_1	18329	21614	coliflower	Coliflower_contig_1	16756	19069	95.3	7.311e-316	central tail fiber J	AXUUMYTS_CDS_0021	central tail fiber J	JDOEVDKM_CDS_0028	ewik - AXUUMYTS_CDS_0021	ewik - AXUUMYTS_CDS_0021 - central tail fiber J	coliflower - JDOEVDKM_CDS_0028	coliflower - JDOEVDKM_CDS_0028 - central tail fiber J	ewik	A xylosoxidans ayb	1	AXUUMYTS_CDS_0021	cluster_1
ewik	Ewik_contig_1	18329	21614	coliflower	Coliflower_contig_1	16756	19069	95.3	7.311e-316	central tail fiber J	AXUUMYTS_CDS_0021	central tail fiber J	JDOEVDKM_CDS_0028	ewik - AXUUMYTS_CDS_0021	ewik - AXUUMYTS_CDS_0021 - central tail fiber J	coliflower - JDOEVDKM_CDS_0028	coliflower - JDOEVDKM_CDS_0028 - central tail fiber J	ewik	A xylosoxidans suz	1	AXUUMYTS_CDS_0021	cluster_1
